Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	25.407642	13.448157	73.0	9.0	25.407642	-0.008422919	0.09431112	0.30619806	-0.3640893	4000	-2.1338463e-08	349.3598	-0.014186628	-28.498657	0.6896291	0.0076161157	0.06875	79.0	5.656461715698242
1	30.438461	20.193298	109.0	9.0	30.438461	0.9347236	0.39062023	2.1398754	-0.6711531	8000	-2.7537347e-08	540.3835	-0.013159215	-69.05441	0.6787373	0.0063085877	0.05225	79.0	10.251445293426514
2	37.518867	22.095518	119.0	11.0	37.518867	2.8698857	0.22947378	3.4289837	2.1941752	12000	-4.6133994e-08	575.32367	-0.01199693	-99.57001	0.6634403	0.0052637863	0.038	79.0	14.88820743560791
3	49.08642	31.266357	144.0	11.0	49.08642	5.6833572	0.55284303	7.6510863	3.9919538	16000	7.051229e-08	803.3689	-0.010885794	-155.90851	0.64395714	0.002726739	0.02175	79.0	19.520231246948242
4	72.218185	36.809925	188.0	19.0	72.218185	9.334555	1.5242989	14.80508	2.850514	20000	4.9054623e-08	996.06226	-0.0112049775	-209.02435	0.6371389	0.0027305363	0.02275	79.0	24.092421531677246
5	83.40426	52.4403	200.0	16.0	83.40426	14.0507145	0.49061394	15.354837	12.278183	24000	1.1086464e-08	1182.2565	-0.010134346	-232.19397	0.6280973	0.0031548457	0.021	79.0	28.58058738708496
6	123.65625	51.919174	200.0	39.0	123.65625	18.664473	1.7727376	23.18473	12.188712	28000	2.1100044e-08	1310.1296	-0.0056697703	-268.32336	0.61526513	0.0014129427	0.0075	79.0	33.16686153411865
7	124.96875	57.006294	200.0	25.0	124.96875	24.14274	1.8743676	29.697662	15.993538	32000	-5.662441e-09	1132.1105	-0.004665935	-197.6972	0.6151803	0.004890357	0.02025	79.0	37.7806396484375
8	163.66667	45.219524	200.0	60.0	163.66667	28.321974	0.89334446	30.643883	24.63796	36000	-5.662441e-09	1161.9277	-0.004819132	-214.77301	0.59814817	0.0066746455	0.027	79.0	42.314913511276245
9	147.07692	38.987103	200.0	57.0	147.07692	32.56456	1.3504956	35.519104	25.775234	40000	4.3034554e-08	839.29865	-0.0032305398	-145.50189	0.60129917	0.0011617236	0.00825	79.0	47.385008096694946
