Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.58757	10.863012	71.0	9.0	22.58757	-0.0021046854	0.18853149	0.6048971	-0.5774803	4000	-3.4689904e-08	270.37988	-0.017216304	-176.64206	0.6913275	0.008155552	0.08725	79.0	8.476070642471313
1	29.708956	16.26131	87.0	8.0	29.708956	9.4932165	1.5811638	13.965405	-1.8760742	8000	2.682209e-08	208.94801	-0.012185283	-77.1938	0.6853093	0.01684103	0.19475	12.0	13.811314344406128
2	39.346535	23.939047	177.0	11.0	39.346535	17.49265	3.0042715	20.599237	-3.0665889	12000	-7.033348e-09	272.80502	-0.016124493	-50.84941	0.66170216	0.008588895	0.06975	79.0	19.137264490127563
3	47.807228	31.26816	196.0	10.0	47.807228	21.777067	5.882129	25.184479	-20.724955	16000	-4.708767e-08	348.58594	-0.016308147	-34.851013	0.65298927	0.011961618	0.08575	79.0	25.068559646606445
4	79.52	44.89376	200.0	15.0	79.52	27.831299	2.5427961	28.676409	-7.1306624	20000	-2.0623206e-08	546.8494	-0.011403895	-107.69937	0.6343323	0.004748927	0.0335	79.0	31.005999088287354
5	103.63158	43.398052	200.0	16.0	103.63158	35.82469	1.4819926	36.45305	17.297855	24000	-1.3113022e-08	499.8231	-0.009539289	-86.53635	0.6230344	0.0051040254	0.0295	79.0	36.941805839538574
6	140.32143	45.62037	200.0	20.0	140.32143	40.735634	6.073094	42.445015	-28.242971	28000	4.1127205e-08	561.7397	-0.0071942178	-84.61719	0.6177333	0.0016858177	0.01525	79.0	43.16547775268555
7	145.59259	48.48693	200.0	38.0	145.59259	46.141506	10.044335	49.25621	-40.557693	32000	-3.2782555e-08	519.7886	-0.007896033	-163.33826	0.6116318	0.002533094	0.0185	79.0	48.674198150634766
8	172.73914	29.277113	200.0	115.0	172.73914	44.236008	12.769242	53.47854	1.7709053	36000	6.9141386e-09	397.1847	-0.0069579785	-156.66978	0.60854644	0.0038829322	0.01475	79.0	54.1303334236145
9	175.27272	41.332554	200.0	42.0	175.27272	53.866768	11.882284	60.950695	6.8095665	40000	-1.0609627e-08	383.8772	-0.0044038096	-43.86081	0.6007184	0.0047091013	0.0385	79.0	59.948585748672485
