Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-115.40561	31.166658	-77.47435	-186.38634	408.75	-0.06700781	0.29188648	1.0566357	-0.87594324	4000	-0.010622593	749.0795	-0.002031656	-158.49878	3.6652205	4.220611e-05	4.79172420501709
1	-99.38773	18.57958	-78.79992	-122.09276	537.8333	-5.4085402	0.7179143	-3.018022	-9.204927	8000	-0.06642215	274.82913	-0.0011227652	-47.83516	3.679871	0.00083845103	8.943528413772583
2	-100.007484	11.673526	-85.431076	-111.97754	466.42856	-8.996204	1.4456747	-5.083727	-15.647365	12000	-0.07400779	264.0643	-0.0012099221	-37.918747	3.6681807	0.0006870947	13.145012855529785
3	-104.0988	18.756401	-73.897835	-126.599495	419.0	-11.344451	2.8219821	-3.7851968	-24.57621	16000	-0.0019111567	354.7361	-0.0011671771	-62.373108	3.6471121	-0.00035797706	17.360790967941284
4	-98.79039	20.403187	-77.91281	-126.272865	629.4	-12.954495	4.4062557	-2.2620797	-37.115894	20000	-0.012812641	141.52061	-0.00018922612	-15.113686	3.6810844	0.00047407244	21.59247350692749
5	-98.25982	17.527664	-75.11376	-117.99302	463.7143	-11.2653265	6.0328484	-0.45245165	-37.70298	24000	0.006417599	201.28232	-0.00020855386	-21.113205	3.655042	-0.00021527395	25.992348432540894
6	-89.387955	17.8045	-72.68431	-118.80043	774.75	-9.795414	5.180685	1.0608103	-36.261158	28000	0.009137657	66.49295	-0.0007934682	-6.1096573	3.671604	-0.00010814014	30.18876838684082
7	-77.46691	2.3273828	-73.967155	-79.93235	1000.0	-8.802565	4.523602	-0.31574023	-36.356964	32000	0.006381961	20.719543	-0.0007625413	-7.219125	3.6540244	-7.0592164e-06	34.334516286849976
8	-93.06289	20.00742	-73.7601	-118.436714	620.6	-8.088954	5.065645	-0.32057005	-41.941074	36000	0.0020866499	81.034966	-0.00013417285	-10.806122	3.7139938	0.00021905449	38.492374420166016
9	-91.98764	20.364304	-73.44389	-120.846695	619.8	-9.279977	6.3457646	0.0119479	-50.383083	40000	-0.023056954	71.30747	-0.0005387012	-6.406502	3.6743457	9.6747965e-05	42.82378625869751
