Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-102.34524	6.135605	-97.48868	-122.02455	80.57143	0.25563976	0.17252037	0.88905185	-0.3920506	4000	-0.020214703	4736.3486	-0.0016703289	-726.43555	3.6690168	0.00092414854	5.259981870651245
1	-103.074684	6.7484846	-97.18915	-121.78945	81.5625	-5.658317	0.9338511	-2.2792923	-8.677479	8000	0.05760599	3965.8735	-0.00033137575	-1260.8276	3.6875343	0.00022863549	9.9019136428833
2	-104.600075	8.205384	-97.896355	-126.114235	83.95744	-18.094452	3.1114767	-6.572892	-26.79689	12000	-0.0045743305	2674.9075	-0.0007874202	-1299.5177	3.6785412	-0.0001773162	14.513010263442993
3	-102.81139	6.171566	-97.924385	-123.31838	89.84091	-35.789608	6.0454326	-13.588306	-53.17648	16000	0.013012606	1271.441	-0.0003046682	-537.0023	3.6699479	-0.00011921138	19.090770721435547
4	-105.49467	8.799845	-97.805626	-125.53555	81.520836	-50.13014	7.781766	-24.197561	-70.39046	20000	0.019775948	784.36523	-0.0006214436	-230.58221	3.6684792	-0.00012730523	23.6530179977417
5	-107.212	9.770921	-98.158165	-130.52966	86.888885	-60.25017	8.540579	-31.417181	-84.58485	24000	0.027216969	530.1418	-0.00021949038	-53.174713	3.7008305	-4.9363793e-05	28.2613685131073
6	-105.636665	8.499134	-97.70152	-125.126595	84.78723	-63.11925	9.098983	-37.629875	-85.05267	28000	0.040818628	513.5681	-0.00022456422	-30.439453	3.6693888	-0.00010973978	32.87219023704529
7	-104.11503	7.915109	-98.16161	-125.12708	82.893616	-64.05699	8.861682	-37.713936	-84.11417	32000	-0.0007877302	467.29764	-0.00032297045	-28.793335	3.667642	-0.00015876212	37.463655948638916
8	-102.64132	6.054783	-98.31518	-122.37366	80.734695	-63.482937	8.8818445	-38.82735	-82.75094	36000	0.019883564	401.63474	-0.0003748741	-29.57492	3.6344576	0.00025448247	42.07703876495361
9	-103.471	6.5435514	-97.101944	-123.669556	90.795456	-65.826035	9.392404	-38.924114	-83.30946	40000	0.019264767	471.26593	-0.00029098243	-46.997864	3.6884356	0.00067854783	47.06185030937195
