Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-57.65042	4.736039	-54.006958	-65.66069	1000.0	-0.032002863	0.19341075	0.8091638	-0.9398575	4000	-0.031925224	27.962444	-0.0010286607	-24.571213	3.6652203	6.997463e-05	4.768534183502197
1	-61.200623	1.5424029	-59.799316	-63.806744	1000.0	-4.0711403	0.30096942	-2.7491488	-5.129819	8000	-0.038869064	3.4509287	-0.0008017272	-2.5869913	3.679871	-0.00018319348	9.020068883895874
2	-60.95038	2.518276	-58.136295	-64.850586	1000.0	-5.641626	0.2980242	-4.1902966	-6.9558544	12000	-0.019207805	0.6899668	-0.0004090909	-0.100283384	3.6685073	8.938757e-05	13.245523929595947
3	-59.821068	2.04181	-57.291565	-62.07977	1000.0	-5.8649144	0.30500835	-4.625918	-7.025131	16000	-0.04343254	1.260311	-0.00033522025	-0.09105086	3.6477492	0.0001924045	17.504871606826782
4	-62.015034	3.158313	-56.5511	-63.978584	1000.0	-5.803044	0.3658265	-4.3028603	-7.2476277	20000	-0.033262946	1.514039	-0.00029616058	-0.15463841	3.6817138	0.00019779656	21.77860975265503
5	-62.39982	1.1880794	-60.503777	-63.72292	1000.0	-5.837571	0.47176984	-4.416019	-8.422652	24000	-0.012766113	1.7029877	-0.00031535886	-0.19407034	3.6556256	-0.00011984095	26.03210139274597
6	-62.237514	2.1386735	-59.500996	-64.50965	1000.0	-5.989554	0.46416602	-4.4546065	-8.047479	28000	0.0062956545	1.1112132	-0.000768058	-0.18431115	3.6720889	0.000124088	30.283475637435913
7	-64.50893	0.5698436	-63.92196	-65.10411	1000.0	-6.080388	0.5443794	-3.598282	-9.42255	32000	-0.0337341	0.5761283	-0.00038966164	-0.06663376	3.6544118	5.5042117e-05	34.53901243209839
8	-58.66529	2.581371	-55.931854	-62.353977	1000.0	-5.9375463	0.5663843	-3.0628102	-8.678044	36000	-0.027261468	0.49578315	-0.0005614385	-0.08753237	3.7141356	0.00022748917	38.778627157211304
9	-72.8227	20.258333	-59.173832	-107.846466	763.0	-5.7258143	0.701781	-3.0885358	-8.133585	40000	0.02027306	74.04373	-7.4885786e-05	-14.815857	3.6741576	3.613776e-05	43.302329778671265
