Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-100.647545	4.987654	-96.69081	-125.35417	73.166664	-0.19246426	0.1796668	0.4128091	-0.763216	4000	-0.053972464	4823.26	-0.00069802254	-550.96094	3.6998384	-0.0002144429	5.12885856628418
1	-104.81556	9.423194	-96.43383	-127.55264	76.75	-4.628032	0.8211718	-1.684798	-7.2312217	8000	0.0417415	4420.4497	-0.0004690513	-1286.9807	3.670501	7.8832e-05	9.602467775344849
2	-103.93674	9.156675	-96.60437	-134.7377	69.89474	-16.320227	2.8007174	-4.844329	-24.434282	12000	0.0071254987	3271.5103	-0.00034877472	-1456.0675	3.6488051	0.00027015113	14.116191387176514
3	-102.991165	7.8359756	-97.127396	-127.437935	73.25926	-32.049183	5.551527	-10.198619	-47.908615	16000	-0.025307925	1762.2762	-0.0003752876	-798.1918	3.6551476	0.00025755833	18.597109079360962
4	-102.831245	7.286227	-97.235275	-129.67766	70.76786	-47.207836	7.6132007	-19.628992	-69.196495	20000	0.015147602	974.97314	-0.00032585952	-342.07452	3.6973374	3.9145918e-05	23.093226671218872
5	-103.777794	8.269051	-96.95301	-133.25719	70.91071	-58.45582	9.318546	-28.006916	-80.34793	24000	0.049229316	613.2249	-0.00039490685	-117.877594	3.6571987	-2.2072374e-05	27.57464051246643
6	-101.7334	6.2778745	-97.11668	-129.58098	71.26786	-64.714096	9.493864	-32.44646	-83.95885	28000	0.04064856	515.73254	-0.00017544627	-56.153595	3.6813638	0.00014592409	32.098326683044434
7	-105.26011	9.260083	-97.77858	-131.2128	73.72222	-65.882034	9.429295	-29.585468	-85.46829	32000	-0.04317282	461.3358	-0.00019223988	-36.450348	3.654543	0.00036151963	36.60331726074219
8	-101.14097	5.2501187	-96.20962	-128.45413	66.75862	-66.68172	8.773313	-35.92825	-85.65709	36000	0.0073783514	420.72604	-0.0003595776	-40.16455	3.67028	-0.000116910574	41.1106014251709
9	-103.63656	9.039763	-96.97957	-132.96509	78.15686	-65.42691	9.624117	-33.005157	-85.748634	40000	0.02698372	414.55655	-0.00017645769	-27.491333	3.683121	4.8074426e-06	45.862990856170654
