Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-75.281586	1.4870479	-73.095856	-76.996605	1000.0	0.07610225	0.061283886	0.4668268	-0.09850268	4000	-0.0057404097	46.420982	-0.000961652	-26.71951	3.6652205	-0.00045793247	4.8821258544921875
1	-75.013306	1.535866	-73.868385	-77.654724	1000.0	-2.4074438	0.11247616	-1.8014907	-2.734232	8000	-0.015472176	21.175915	-0.0011176467	-13.785385	3.6804707	-8.848291e-05	9.17540955543518
2	-73.72189	2.0708995	-71.47963	-76.958824	1000.0	-4.4031854	0.11979425	-3.294787	-4.768073	12000	-0.010080018	7.2560763	-0.00038583297	-5.1297135	3.6691983	0.00021985704	13.439863443374634
3	-74.168236	3.74604	-67.87862	-77.70001	1000.0	-5.75111	0.11650357	-4.8164825	-6.196443	16000	-0.0029687623	2.9610639	-0.00053164386	-1.4703808	3.6488063	0.00012906066	17.67932677268982
4	-73.46031	3.1799958	-70.20721	-77.87223	1000.0	-6.550482	0.11587266	-5.7757506	-7.015267	20000	-0.012834434	1.2675579	-0.000476107	-0.27560002	3.6833692	0.00021953047	21.947757959365845
5	-74.683044	1.8423622	-72.26614	-76.86993	1000.0	-6.9132347	0.12018552	-6.117687	-7.2605515	24000	0.03452014	0.5677863	-0.0005456023	-0.084510714	3.6577666	-1.8761546e-05	26.216948986053467
6	-72.58505	2.53428	-69.674995	-76.485596	1000.0	-7.1214724	0.12362433	-6.3592873	-7.5170074	28000	-0.0054963473	0.6457936	-0.0007332	-0.008474112	3.6749067	6.5010754e-05	30.464818954467773
7	-73.94725	1.4714861	-71.459305	-75.14675	1000.0	-7.069959	0.1249892	-6.2841997	-7.5549	32000	0.011559179	0.36232275	-0.0007225247	-0.0077260137	3.6577692	0.00020697141	34.7316460609436
8	-72.9049	1.1993238	-71.51657	-74.2539	1000.0	-7.128904	0.12598057	-6.387754	-7.5890408	36000	0.011741868	0.499441	-0.00091039203	-0.0047267377	3.7181432	0.0004304291	38.951979637145996
9	-73.53011	1.8796018	-71.210045	-75.68192	1000.0	-7.1571183	0.1273217	-6.4329104	-7.5437307	40000	0.019094864	0.15146475	-0.00092608854	-0.0019295961	3.6788917	-0.0001731278	43.55160737037659
