Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-101.70111	5.9628806	-97.62395	-126.60172	69.75439	-0.74739313	0.16443996	-0.21164858	-1.4406487	4000	0.021318976	4988.572	-0.00083717145	-652.0322	3.6998384	0.0005230769	5.195928335189819
1	-100.87701	4.549915	-98.182625	-123.09311	73.18519	-5.7451854	0.598058	-3.6446457	-7.746998	8000	-0.011859199	4072.3633	-0.0010626176	-995.64453	3.6717007	0.0011469702	9.738871097564697
2	-101.45612	6.0689917	-97.18403	-130.3097	71.01786	-14.915163	2.0702534	-9.5785	-21.463377	12000	0.0018144727	3230.4	-0.0009920273	-1324.3191	3.650017	0.0007406484	14.252037525177002
3	-100.67929	3.1883085	-96.96912	-121.226585	71.76363	-29.91047	4.82829	-16.593895	-46.369965	16000	-0.005854598	1857.9358	0.000117804855	-855.9947	3.6563559	-0.00012987596	18.91895604133606
4	-100.52808	3.2306545	-97.88954	-121.32478	71.836365	-45.93345	7.3221955	-24.866194	-65.32775	20000	-0.024223298	985.8824	-0.00042608567	-327.08362	3.6987448	0.0007592026	23.534512281417847
5	-100.33138	3.6611054	-97.67546	-125.97832	69.929825	-56.5919	8.764096	-30.639704	-80.29412	24000	-0.022280686	658.8541	-0.00043968856	-132.76654	3.658425	0.000113916365	28.088669061660767
6	-100.91717	3.7105398	-97.97786	-121.09678	75.65385	-62.74928	8.368076	-35.354626	-84.845856	28000	-0.018099027	570.18164	-0.00040396117	-62.430756	3.6820815	0.0001572511	32.58240556716919
7	-101.184715	4.306903	-97.11713	-124.667175	74.9434	-62.884598	7.985239	-34.38966	-84.30432	32000	0.017294472	491.4608	-0.00090647675	-49.065674	3.6545627	0.0006456872	37.092833042144775
8	-101.77546	6.8812504	-97.63786	-129.79927	77.76471	-63.179256	7.5967016	-38.627182	-84.565506	36000	-0.024302777	457.03214	2.1001324e-05	-41.041687	3.66998	-0.00017801422	41.61451697349548
9	-101.45768	6.4130683	-97.73895	-128.74121	70.14286	-64.41756	7.7241063	-37.545948	-85.16877	40000	-0.023783939	399.63718	-0.000192523	-38.063232	3.6824243	-0.00027562957	46.391998052597046
