Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-107.30388	9.090291	-98.22023	-133.72371	75.09434	0.110113084	0.2616775	0.88604784	-0.73156327	4000	-0.010544834	5351.247	-0.0009836871	-524.292	3.7034268	0.0005887766	5.023081064224243
1	-105.74595	6.92538	-98.64695	-131.88588	73.53704	-3.6833365	0.40123665	-1.417127	-4.3988895	8000	0.020429669	4770.496	-0.00067210384	-433.07227	3.6563928	0.00020258794	9.478873491287231
2	-107.20439	9.1094055	-98.834435	-133.57524	76.65385	-7.01181	0.4627988	-3.9406745	-7.8870974	12000	0.034873687	4343.271	-0.00037779287	-392.7754	3.7318912	-0.000117640644	13.870135068893433
3	-108.49088	10.173764	-98.745056	-135.81465	68.929825	-10.170427	0.5574685	-6.7911425	-11.111856	16000	0.031078354	4262.533	-0.0003981162	-380.5017	3.722336	7.847789e-05	18.26966953277588
4	-107.80399	9.909148	-98.69424	-136.45114	75.18868	-13.294502	0.5924431	-9.536472	-14.450771	20000	0.02634703	3657.196	-0.00035015494	-328.4756	3.6691866	-0.00024137234	22.641960382461548
5	-106.13744	8.571326	-99.91719	-138.45996	69.61404	-16.180815	0.66323435	-12.352031	-17.398905	24000	0.01020336	3414.1404	-0.00038043503	-306.70264	3.6314266	-6.438333e-05	27.032792329788208
6	-105.8286	6.423194	-98.57415	-130.00737	68.72414	-18.963232	0.7072091	-13.56075	-20.303413	28000	-0.023556076	3137.6245	-0.0004273448	-284.69165	3.6886334	0.00046115898	31.46476411819458
7	-104.79689	5.878386	-100.219154	-133.8346	65.540985	-21.684805	0.7111944	-17.60837	-22.9922	32000	-0.030790115	2933.2998	-0.00042243116	-271.3567	3.695065	-2.4444462e-06	35.87138819694519
8	-105.10184	6.560791	-97.94131	-132.8779	72.30909	-24.306782	0.73115456	-19.333614	-25.615515	36000	0.010678634	2434.745	-0.0001490023	-220.95068	3.681122	0.00013951343	40.29449105262756
9	-106.56069	7.621523	-98.961624	-136.91194	69.807014	-26.851788	0.7101183	-22.828638	-28.089857	40000	-0.012985761	2362.1543	-0.0001284806	-218.83374	3.655262	6.5475135e-05	45.00051307678223
