Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-47.37471	2.3562448	-44.950237	-51.184498	1000.0	-0.2669464	0.16879843	0.5005512	-1.2268033	4000	-0.031343326	16.295723	-0.006524138	-15.297558	3.6948872	0.0041861422	5.8576295375823975
1	-45.013367	2.020491	-41.756245	-46.89448	1000.0	-4.147753	0.26178938	-3.4926474	-6.2205057	8000	-0.07723211	0.3206751	-0.0045358837	-0.106499165	3.6750376	0.00396486	10.866469383239746
2	-49.20017	2.9344103	-44.752766	-52.899998	1000.0	-4.4089756	0.22163087	-3.5852532	-5.870691	12000	-0.030379446	0.37324494	-0.0019579772	-0.20224722	3.6978507	0.0013487197	15.80814814567566
3	-44.657288	4.1302786	-39.57887	-50.5669	1000.0	-4.608395	0.5462757	-3.8839033	-9.943887	16000	-0.010057266	0.94607335	-0.0014565466	-0.5581964	3.671103	0.0007386793	20.716153144836426
4	-43.257275	6.109952	-36.321556	-51.780777	1000.0	-4.3688974	0.81047636	-1.0059621	-8.502575	20000	-0.036464926	1.0080404	-0.0020228885	-0.8035613	3.686206	0.00043097616	25.604862213134766
5	-41.91225	3.8700452	-37.213158	-47.21511	1000.0	-4.2761345	0.43714118	-0.07868748	-6.9107847	24000	-0.041776963	0.40229243	-0.0015559122	-0.21249434	3.6633208	0.0007093303	30.54036235809326
6	-44.219746	4.448758	-39.567856	-51.308475	1000.0	-4.2846427	0.6608556	1.2575635	-8.7687235	28000	-0.032513373	0.28500038	-0.0031864382	-0.12638682	3.62483	-0.0001075561	35.461973667144775
7	-73.09084	44.616516	-33.290466	-145.03394	699.0	-3.9759028	1.5646344	7.496695	-7.9940963	32000	-0.006483744	227.75246	-5.413685e-05	-153.26508	3.6355953	0.0009826138	40.35877013206482
8	-43.54137	1.441021	-42.13991	-45.916428	1000.0	-5.7054296	3.9124718	3.7428374	-45.81706	36000	-0.030943315	17.69683	-0.0007478595	-17.228842	3.6760552	0.0002717118	45.27471876144409
9	-41.61346	5.358146	-34.222202	-47.59594	1000.0	-4.1840253	0.8257015	-2.6320682	-19.950954	40000	-0.026574556	1.1247424	-0.0003804341	-0.79667336	3.691092	0.0006381136	50.54096984863281
