Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-45.662003	5.3086934	-39.810234	-52.183327	1000.0	-0.3456212	0.1529577	0.035439186	-0.8089693	4000	-0.052992187	16.496592	-0.004266318	-14.839524	3.7278452	0.0031153813	5.533216238021851
1	-45.80523	4.8416233	-37.570225	-49.940426	1000.0	-4.298976	0.29181224	-3.0020444	-5.8136907	8000	-0.024285037	0.9193394	-0.0037505757	-0.2128436	3.6771626	0.0021252728	10.424232721328735
2	-48.439697	5.5572877	-42.291607	-56.3208	1000.0	-4.34201	0.46160844	-2.5418773	-7.1282077	12000	-0.017868806	1.2824914	-0.0012136381	-0.39336854	3.694228	0.0013238309	15.259131908416748
3	-60.443306	27.516962	-41.354286	-107.56948	768.5	-4.7153263	0.5576704	-2.507764	-7.8071084	16000	0.019046769	81.86977	-0.00086153485	-52.234196	3.6876636	-0.00041602983	20.10686445236206
4	-43.611828	6.646992	-33.07691	-49.671432	1000.0	-5.281996	4.309183	4.552098	-38.40747	20000	-0.03541066	17.92652	-0.00083022565	-16.590761	3.6543937	0.00041767242	24.903285264968872
5	-45.615322	4.0237246	-39.601017	-49.97763	1000.0	-4.0842137	0.81974083	1.5423393	-8.365641	24000	-0.01942615	0.9220545	-0.000835428	-0.3058387	3.6492753	0.00021485102	29.753753185272217
6	-77.28393	31.720455	-40.331802	-112.07935	548.5	-4.95933	2.7378244	1.4631877	-34.838993	28000	0.027797826	228.6156	-0.0009545218	-210.57356	3.6788194	0.000582306	34.5768609046936
7	-60.535057	28.953493	-35.860863	-109.73244	764.25	-4.8537254	2.9380562	6.343006	-34.153313	32000	-0.057504952	94.03941	-0.00077876076	-27.307884	3.6406512	-0.00051557244	39.446173667907715
8	-41.05359	3.3980587	-37.68534	-46.3207	1000.0	-4.634441	2.7531447	-2.5362623	-37.181057	36000	0.0029168015	10.547281	-0.0011648865	-9.745802	3.638178	-0.0003471498	44.282554388046265
9	-43.672623	1.4055336	-42.457996	-46.065914	1000.0	-4.1693916	0.40948316	-2.1726658	-7.92526	40000	0.0068608304	0.28106865	-0.001995781	-0.09328936	3.6732173	0.0006493177	49.42542099952698
