Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-45.865005	3.900029	-41.39793	-50.084038	1000.0	-0.34362063	0.15066548	0.03534668	-0.82408047	4000	-0.04802634	16.772131	-0.004514266	-14.988797	3.7278452	0.002358792	5.604273796081543
1	-61.317104	26.182426	-41.80683	-106.41484	775.0	-4.300615	0.30379435	-2.8756163	-5.875461	8000	0.00063741684	99.057365	-0.0023872452	-46.764847	3.6771626	0.0014003625	10.435242891311646
2	-47.815998	4.37277	-41.674347	-52.715282	1000.0	-5.5034122	3.5969324	-1.8549606	-28.819962	12000	-0.029937671	12.989728	-0.002466267	-12.078408	3.6948392	0.001299283	15.241099834442139
3	-62.245518	28.63974	-40.293404	-111.41272	765.25	-4.5473886	0.83048743	-2.647752	-13.547806	16000	-0.026048217	77.626755	-0.001361547	-44.847393	3.6882637	-0.00031551986	20.03685975074768
4	-42.226383	3.8428237	-37.41015	-46.080853	1000.0	-4.9699054	3.393791	0.29894906	-34.2082	20000	-0.01578417	12.370624	-0.0011751167	-11.455049	3.654688	8.119282e-05	24.830023765563965
5	-43.04648	2.9894016	-38.78999	-46.846245	1000.0	-4.0942206	0.5414513	-1.8369666	-6.9944754	24000	-0.040121242	0.7332381	-0.0016139336	-0.23007101	3.649456	0.0005769508	29.623780012130737
6	-44.438522	3.276244	-41.25086	-49.72452	1000.0	-4.279745	0.59062386	-1.4340384	-7.7434187	28000	-0.027805217	0.56742185	-0.00083621964	-0.18789068	3.6789207	0.0002897197	34.39940524101257
7	-58.32071	30.97014	-34.272697	-110.942444	764.25	-4.3587337	0.56340754	0.07362422	-6.9151974	32000	-0.06604119	94.04634	-0.00047750026	-27.237724	3.640431	-0.00029605816	39.18654775619507
8	-44.580315	3.3816268	-40.85802	-48.458473	1000.0	-4.7631664	2.5587146	-2.4098325	-30.04147	36000	0.00318891	7.6413918	-0.0010741649	-6.786247	3.6377017	-8.3601e-05	43.98825931549072
9	-60.103832	27.087013	-43.13158	-106.95865	768.0	-4.4095497	0.94070816	-2.6337125	-25.989073	40000	-0.016977081	80.0711	-0.00048357993	-71.236275	3.6725113	-9.743989e-06	49.24989938735962
