Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-113.52085	3.0120366	-105.52845	-119.48876	84.19149	0.2756054	0.01487967	0.31386346	0.23671429	4000	0.0367026	5366.005	-0.001686275	-905.2075	3.6618223	0.00222887	5.616239547729492
1	-114.18583	5.8247395	-106.45337	-141.38722	98.65	-6.4876776	0.03538735	-6.325191	-6.5785327	8000	0.018379457	3773.4517	-0.0017658211	-362.86353	3.6650243	0.00086000847	10.496756553649902
2	-114.01286	3.1208034	-107.03218	-120.1246	83.085106	-9.899738	0.0212321	-9.785335	-9.942053	12000	0.0073495456	4089.763	-0.0001691659	-468.5625	3.660667	0.0002962098	15.414962768554688
3	-114.26933	2.8420339	-107.17568	-121.03817	77.94118	-13.88241	0.0144188255	-13.799703	-13.910504	16000	-0.027283872	3891.6692	-0.00082038715	-485.56104	3.6946054	0.00074020686	20.29925298690796
4	-114.07292	3.4816442	-107.04954	-122.532425	89.295456	-18.079948	0.00911904	-18.035542	-18.097021	20000	-0.02893295	2967.9497	8.312985e-05	-364.2749	3.6388638	0.00040441047	25.19486403465271
5	-113.62655	2.6022098	-105.9597	-117.565765	71.30357	-21.818613	0.007722772	-21.781828	-21.831877	24000	-0.03635338	3229.772	-6.870553e-05	-407.9563	3.6775846	8.539656e-05	30.11505651473999
6	-112.54552	6.4094963	-82.15505	-118.88177	110.97222	-25.668543	0.006641103	-25.63053	-25.67995	28000	0.00862542	1853.2168	-0.0009276215	-137.1532	3.6748462	0.0005124946	34.99207162857056
7	-114.22447	3.2758915	-107.033165	-119.50012	87.64445	-28.026005	0.0047782897	-27.998995	-28.034159	32000	-0.014158771	2126.083	-0.0005319081	-243.46326	3.7171178	0.0007562814	39.89571762084961
8	-113.36496	3.1449618	-106.045944	-120.19949	78.38	-31.04886	0.004396171	-31.015625	-31.056114	36000	-0.02621884	2046.0104	-4.0072948e-05	-248.88159	3.65414	0.00020054767	45.047120809555054
9	-113.59221	3.79446	-106.586555	-124.35628	81.42857	-34.18184	0.003574409	-34.15561	-34.18778	40000	0.003514557	1762.7969	-7.016747e-05	-217.40417	3.6932006	0.0003887281	50.43443989753723
