Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-70.44268	3.3292785	-64.70877	-72.89111	1000.0	-1.1785157	0.032794498	-1.0733924	-1.289991	4000	-0.031203113	29.899406	-0.0049436092	-27.570755	3.7278452	0.010645119	5.530457258224487
1	-71.14931	1.836654	-67.9957	-72.529434	1000.0	-6.4908967	0.08434301	-6.2318287	-6.858233	8000	-0.0035389138	0.7785563	-0.0040039113	-0.3233826	3.6771626	0.00772002	10.348429203033447
2	-66.19936	4.422461	-59.621296	-72.000175	1000.0	-7.0191154	0.12479456	-6.4694657	-7.3296275	12000	-0.0046237144	1.5793704	-0.0019906661	-0.30575955	3.6946723	0.0056388094	15.107578754425049
3	-66.18722	1.9062581	-63.30862	-68.444664	1000.0	-6.7843823	0.21395583	-5.5937924	-7.218753	16000	0.0081870975	0.24653886	-0.0065988656	-0.019044995	3.6883984	0.0062844246	19.943405628204346
4	-77.49392	21.537321	-64.68738	-114.791176	765.5	-6.6584787	0.30217105	-4.5960903	-7.319309	20000	0.00823179	90.6995	-0.0012654574	-9.311279	3.6553795	0.006465637	24.79389977455139
5	-64.58142	2.8080761	-61.079296	-68.927414	1000.0	-7.905543	0.53215075	-7.257612	-12.011473	24000	-0.03165214	2.5971415	-0.0008359477	-2.1243246	3.6507456	0.0030870147	29.664886951446533
6	-62.165855	3.2024286	-56.78322	-65.21682	1000.0	-6.5109434	0.36990297	-5.963042	-9.450881	28000	-0.030365713	1.4593204	-0.0029962994	-0.35912514	3.6806176	0.0025427074	34.54774713516235
7	-56.95317	1.8369204	-54.4151	-59.380623	1000.0	-6.277449	0.2414111	-5.9309793	-7.936954	32000	0.006881628	2.6350684	-0.0008126241	-0.6425779	3.6424627	0.0006605934	39.58666157722473
8	-60.629482	2.0066934	-57.602463	-63.248306	1000.0	-5.907462	0.14616732	-5.3434234	-6.5094657	36000	-0.04437028	0.48600972	-0.0024198182	-0.053173035	3.6402285	0.0032761218	44.798471450805664
9	-61.09298	3.26596	-56.596268	-65.09519	1000.0	-6.0616913	0.16119194	-5.371065	-6.4574966	40000	0.048552193	0.43270522	-0.0013847426	-0.013877094	3.6753032	0.004538445	50.126155853271484
