Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-88.29944	32.79414	-34.35731	-116.96341	421.375	0.11591572	0.2329484	0.83662	-0.72998214	4000	-0.020734068	555.4919	-0.0040392764	-142.79529	3.6618223	0.00097379426	5.552428245544434
1	-94.65557	28.267437	-36.332405	-122.96859	301.0	-8.993533	1.9940883	-1.0950315	-12.070724	8000	-0.029185602	801.2096	-0.0022946876	-182.65887	3.6638236	0.0008040443	10.301330327987671
2	-83.426834	29.110516	-43.094902	-120.83391	548.6667	-10.435135	5.4978895	0.85300285	-20.10523	12000	-0.010940298	225.42307	-0.0038467916	-33.505585	3.6581793	0.0010515131	15.116731643676758
3	-93.83381	27.878677	-45.206017	-129.23558	391.0	-8.538123	5.729307	-1.9995123	-22.330597	16000	0.058083307	380.2444	-0.0009913333	-67.03171	3.691328	0.000615068	20.19282054901123
4	-105.69594	29.271038	-40.750984	-178.88756	247.5625	-12.204184	9.866561	-2.0076299	-27.054916	20000	-0.017385613	708.8236	-0.0016256906	-179.87042	3.6356509	0.0008204314	25.2060706615448
5	-59.51706	31.220327	-36.379314	-113.14366	766.0	-8.798615	8.072735	-3.1319818	-35.07012	24000	-0.003957349	94.58995	-0.0007143202	-43.95637	3.6744058	2.5143027e-05	29.98116636276245
6	-96.43732	31.203289	-40.8943	-134.26501	327.41666	-9.179677	10.047708	4.0404706	-35.763157	28000	-0.006152231	579.78925	-0.00051456783	-283.14066	3.6718872	0.0004682557	34.74045991897583
7	-97.46713	21.733938	-39.77939	-122.61861	232.6923	-30.727793	14.1201	-4.3221436	-40.1466	32000	0.0001697197	727.99927	-0.0012146817	-429.67847	3.7142675	0.0004951982	39.44314527511597
8	-70.6075	27.454813	-38.636658	-102.802444	640.8	-11.373315	10.668295	-5.2026787	-43.5082	36000	-0.021936346	105.96906	-0.00054600276	-21.89164	3.6514251	0.00013312405	44.17135500907898
9	-81.50632	33.312576	-39.619278	-123.350075	634.2	-8.036974	8.529945	-3.6166148	-43.354298	40000	0.0016518965	163.71404	-0.00096503354	-59.007027	3.6906147	0.00061024044	49.36569809913635
