Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-100.75695	22.348433	-68.455086	-122.20584	429.5	-0.93329203	0.22467656	0.20691116	-1.5088328	4000	-0.04445851	601.13837	-0.0015986972	-130.66235	3.629567	0.0010184458	4.912648439407349
1	-110.7607	19.623972	-62.39623	-127.52074	233.84616	-6.780796	1.2200595	-3.8051364	-10.854636	8000	0.018529633	1094.9635	-0.0013898946	-376.63086	3.6888256	0.00063381816	9.23606014251709
2	-105.63261	22.117416	-59.201294	-123.4637	323.0	-18.956934	4.637648	-11.277539	-31.921206	12000	-0.0017122497	584.7576	-0.00088863575	-85.37607	3.669451	3.5129815e-05	13.582549333572388
3	-101.62569	26.782022	-57.14776	-122.044106	391.3	-21.037472	6.7830048	-11.657119	-41.222813	16000	-0.0034859658	407.06363	-0.00047596428	-56.394806	3.6695094	-1.944095e-06	17.892988443374634
4	-109.4967	21.060518	-69.73899	-131.3401	307.53845	-21.159035	9.783217	-10.666986	-44.750282	20000	0.017351558	453.09076	-0.00056694075	-105.4017	3.675679	0.00052526075	22.233336448669434
5	-114.065	17.246912	-63.155224	-128.53975	211.0	-27.746122	15.398944	-10.406564	-60.306038	24000	0.0029129144	476.34848	-0.00028095837	-79.746124	3.7067788	0.00013098169	26.547101736068726
6	-106.63726	21.291618	-63.504753	-124.376114	280.85715	-25.49755	17.509176	-9.057219	-70.220825	28000	0.021321477	325.29688	-0.00024393201	-38.852325	3.6760943	0.00017360103	30.848143815994263
7	-103.720535	23.717306	-63.57934	-121.7812	365.6	-20.360416	18.424143	-4.282359	-69.404526	32000	0.0121942535	259.51926	-0.00074254535	-34.481125	3.6770523	-9.105781e-05	35.163755655288696
8	-112.39379	18.57915	-71.20489	-131.60268	284.33334	-23.792156	20.889345	-1.6491587	-77.89175	36000	-0.0025810928	421.85757	-0.00033801282	-23.043	3.6570532	-0.00034072375	39.789222240448
9	-101.3017	25.232708	-64.08609	-127.467834	443.375	-15.291226	15.017361	-2.9091878	-68.2649	40000	0.018600488	179.19365	-0.00038369745	-8.427612	3.671547	-0.00010703447	44.710941791534424
