Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-98.77746	16.904016	-80.31322	-120.57119	534.0	-0.13630076	0.24819602	1.1592383	-0.91033876	4000	0.0111523345	354.89456	-0.0020255586	-91.18942	3.6652203	0.00024251651	4.835031509399414
1	-97.43131	16.87488	-79.555626	-115.53398	529.1667	-5.3124833	0.62632316	-1.8963431	-8.167767	8000	-0.025419898	261.46292	-0.0012510214	-42.25064	3.6822696	0.00042142152	9.080157995223999
2	-106.05041	34.064182	-74.56127	-172.66183	645.5	-9.6037245	1.3288976	-5.0454273	-16.576654	12000	-0.0048697973	255.96004	-0.001159321	-16.021912	3.6715717	0.00074504636	13.326624870300293
3	-107.59412	30.08915	-78.59458	-163.75531	622.3333	-12.19387	1.9644035	-6.693236	-22.38493	16000	0.022286981	252.95494	-0.0009780414	-16.990784	3.651314	-0.00033587439	17.590985536575317
4	-81.91728	4.60552	-76.80907	-89.15721	1000.0	-12.584971	2.5177832	-5.699002	-26.929668	20000	0.0022950515	26.961538	-0.0009166793	-21.928047	3.686073	0.00068376045	21.827441215515137
5	-89.09332	16.695238	-75.49247	-117.167496	767.5	-8.023084	1.9445637	-4.7151313	-19.241007	24000	-0.009501929	75.42171	-0.00079802796	-4.470833	3.6607704	-0.00035654902	26.070525407791138
6	-94.493805	16.779505	-74.32387	-117.9851	537.6667	-9.2088785	3.086487	-3.6989074	-22.875452	28000	-0.0024587587	186.12944	-0.0003890628	-53.167328	3.677853	-8.8580666e-05	30.341219663619995
7	-75.60466	3.2893534	-70.87015	-79.09809	1000.0	-9.400862	3.3045192	-2.0395083	-32.842945	32000	-0.0030473866	14.803267	-0.0006932798	-6.7932777	3.6606543	5.956897e-05	34.55623269081116
8	-89.994225	16.858696	-76.68112	-118.647415	762.5	-8.243379	4.164574	-0.91929126	-31.698412	36000	-0.01346047	59.744923	-0.00011499412	-1.3836517	3.7208877	0.000305016	38.80034685134888
9	-90.91212	16.687271	-73.44371	-112.83105	622.0	-8.165415	4.4315104	-0.054486156	-35.272575	40000	-0.024166398	91.48758	0.00012920983	-13.495468	3.6813717	3.3944816e-05	43.233901023864746
