Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-118.82524	6.105296	-110.70684	-153.66177	91.023254	0.5737116	0.28244328	1.5812894	-0.9179651	4000	0.011814331	5213.409	-0.0013579242	-1137.7891	3.6652207	0.0003463717	4.984805107116699
1	-119.7304	4.5755887	-112.73928	-137.06992	96.68293	-8.593254	1.0621033	-4.4709263	-11.61893	8000	0.0050426596	4000.578	-0.0013996847	-1301.7952	3.68167	1.6922653e-06	9.3431875705719
2	-121.351135	9.313446	-111.18054	-171.17046	114.70588	-21.04907	2.5420446	-10.504556	-27.046177	12000	-0.049040902	2278.5632	-0.0003712289	-834.125	3.671293	0.00047394386	13.665121793746948
3	-122.48763	11.836289	-113.00363	-171.02309	124.32143	-32.437347	4.2206917	-14.542032	-43.282917	16000	0.012793736	1277.4622	-0.0005777152	-275.01337	3.650857	0.00015650538	18.081618309020996
4	-119.98779	5.4819775	-115.11779	-146.74815	99.28205	-43.38758	4.2766953	-26.127373	-55.97759	20000	0.004602799	1105.6611	-0.00025819335	-401.78754	3.6853967	0.0004453576	22.46304440498352
5	-120.04308	12.351524	-94.842804	-166.63115	170.78261	-53.801884	6.390572	-30.826733	-69.08188	24000	-0.003845788	926.1556	-0.0011173352	-94.72455	3.6600437	-0.00017787064	26.771574020385742
6	-133.64731	25.103308	-115.08856	-202.58861	235.23529	-46.736683	5.9197803	-27.309528	-60.62544	28000	-0.0009436817	846.6224	-0.0005602093	-72.23981	3.67711	-0.00025565692	31.069182634353638
7	-120.79102	17.911833	-94.019455	-197.13168	180.40909	-42.741295	5.637134	-23.151495	-54.773495	32000	-0.006287331	798.55176	-0.0006430526	-34.47882	3.6598964	0.00028084684	35.39903664588928
8	-126.97736	18.375002	-112.90231	-198.80563	177.90475	-42.600975	5.871942	-20.307762	-55.420452	36000	0.025062915	728.4592	-0.00027057715	-34.02527	3.7201533	0.00051615975	39.73905277252197
9	-122.52227	19.432539	-89.346725	-195.71858	198.88889	-42.443718	7.7569413	-19.267996	-59.060276	40000	0.013297567	722.7964	-0.0011731135	-65.02704	3.6808426	4.4555218e-05	44.29136633872986
