Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-123.36316	18.631172	-109.30723	-184.08525	165.22728	0.06434222	0.26903343	0.94817054	-0.6566348	4000	-0.020957949	2807.582	-0.0008678902	-299.41602	3.6652203	-4.869166e-05	4.910934925079346
1	-122.372856	19.36504	-80.68465	-176.38327	221.88889	-3.3514228	0.42492718	-1.5152096	-4.431542	8000	0.017952755	1989.9373	-0.0005271081	-177.39172	3.680471	0.00018188315	9.218754529953003
2	-112.008835	15.027518	-68.73947	-124.2576	200.94118	-6.164369	0.5753816	-4.100972	-7.5619426	12000	0.0028516846	1514.9573	-0.0005205269	-108.75525	3.6698143	0.00027514814	13.667023658752441
3	-117.76937	15.199983	-72.25108	-176.88277	145.59259	-8.768813	0.76346993	-5.5526857	-10.246727	16000	0.0042682276	2357.675	-0.0003393162	-234.07056	3.6498418	-0.00017013034	18.033790111541748
4	-115.192375	19.676065	-75.087425	-163.36732	255.5	-11.689702	0.91285384	-7.6309876	-13.810741	20000	0.0070760166	1034.3761	-0.00035351003	-46.205933	3.684666	0.0003364247	22.34332585334778
5	-96.68656	23.308414	-70.173386	-121.80731	546.0	-13.053722	0.757681	-9.7586565	-15.497819	24000	-0.035585858	281.09854	-0.0002890788	-1.6131897	3.6594443	-0.00028448302	26.62023091316223
6	-91.98142	21.914946	-70.74931	-120.6055	638.4	-12.994942	0.8655083	-8.1948	-15.655734	28000	-0.025878532	185.93076	-0.00024706312	-3.8057098	3.6764472	-0.00013584632	30.88032364845276
7	-112.35593	13.957394	-76.1971	-134.9321	191.0	-13.139172	1.2311583	-6.617861	-15.546028	32000	-0.013948668	1266.2404	-0.000117114745	-71.71985	3.659108	-2.7712256e-05	35.20080327987671
8	-104.977905	19.987297	-71.63502	-129.83775	330.45456	-14.6772175	1.3164307	-9.424123	-17.791578	36000	0.017777387	603.6224	-0.00035831518	-10.885376	3.7191513	6.4035085e-05	39.47999954223633
9	-107.432655	17.769756	-73.185745	-121.14583	304.69232	-15.19434	1.7799499	-7.8791046	-18.675976	40000	0.015678978	733.4316	-0.00031112507	-22.7807	3.6795888	2.4310559e-05	44.02358651161194
