Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-119.92563	17.043354	-86.498566	-183.47131	177.42105	0.19265725	0.28298193	1.0646119	-0.8495054	4000	-0.03800834	2268.1343	-0.0016237088	-360.4298	3.6652203	0.00044764546	4.949552774429321
1	-117.84019	12.347881	-88.89338	-155.50963	197.55	-5.04597	0.67737347	-2.820775	-6.633557	8000	-0.027817309	1904.9917	-0.0011473838	-256.78125	3.680471	0.00048334184	9.234313488006592
2	-123.987236	20.462135	-88.30879	-183.10826	221.17647	-9.482762	0.86710644	-5.72792	-11.011044	12000	-0.0008428264	1506.2903	-0.00041962386	-153.89929	3.6692133	0.00056653994	13.531776905059814
3	-120.284096	12.611916	-88.43227	-159.9159	179.27777	-13.239019	0.6713136	-9.592972	-14.239681	16000	-0.01632119	1450.7062	-0.0005077366	-125.533936	3.6486	-5.6159137e-05	17.82435441017151
4	-119.343575	20.372047	-87.35547	-169.24284	319.72726	-16.00388	0.7517409	-11.382786	-17.109062	20000	0.012999424	727.35956	-0.00033099763	-21.671692	3.6828337	0.0004400683	22.078657627105713
5	-120.655	16.399084	-88.42085	-176.62901	189.94118	-17.370583	0.7985553	-13.515036	-18.436916	24000	0.0015142789	1191.7836	2.1610176e-06	-71.08484	3.6571708	-0.00025320952	26.37791085243225
6	-121.86965	15.35996	-83.86508	-176.57457	187.4762	-19.70548	0.97000957	-14.038676	-20.676693	28000	0.012738987	1413.0515	-0.00010642223	-127.3916	3.6740105	-0.00011356694	30.688318252563477
7	-133.94043	26.27228	-114.31729	-185.53166	266.75	-22.389154	1.0133879	-17.637947	-23.686682	32000	-0.041102696	813.867	-0.0005075559	-16.75177	3.656686	-4.7314168e-07	35.18294310569763
8	-130.23402	24.281687	-89.96377	-178.73732	329.54544	-23.259539	1.3319108	-14.896117	-24.854153	36000	-0.034710523	675.1249	-0.0005412586	-8.633911	3.7166338	0.00027974776	39.50687885284424
9	-126.035385	18.830051	-110.26532	-180.26567	185.11111	-23.958578	1.7047378	-16.441553	-25.609732	40000	0.018109174	1052.777	-0.00011465885	-62.606506	3.6767802	6.270632e-05	44.048500537872314
